[2023/12/14] 22:40 clive picked up bones itemX: 3136, itemY: 3227
[2023/12/14] 22:41 clive picked up bones itemX: 3147, itemY: 3234
[2023/12/14] 22:59 clive picked up bones itemX: 3148, itemY: 3234
[2023/12/14] 23:48 clive picked up bones itemX: 3149, itemY: 3234
[2023/12/15] 14:06 clive picked up bones itemX: 3147, itemY: 3232
[2023/12/15] 14:07 clive picked up bones itemX: 3152, itemY: 3227
[2023/12/15] 14:07 clive picked up bones itemX: 3161, itemY: 3226
[2023/12/15] 14:07 clive picked up bones itemX: 3176, itemY: 3225
[2023/12/15] 14:08 clive picked up bones itemX: 3176, itemY: 3225
[2023/12/15] 14:08 clive picked up bones itemX: 3175, itemY: 3226
[2023/12/15] 14:09 clive picked up bones itemX: 3176, itemY: 3225
[2023/12/15] 14:09 clive picked up bones itemX: 3176, itemY: 3226
[2023/12/15] 14:10 clive picked up bones itemX: 3178, itemY: 3222
[2023/12/15] 14:10 clive picked up bones itemX: 3178, itemY: 3221
[2023/12/15] 14:11 clive picked up bones itemX: 3177, itemY: 3226
[2023/12/15] 14:11 clive picked up bones itemX: 3177, itemY: 3225
